"","City","City_Admaster","City_EN","Province","Province_EN","Region","Tier"
"1","七台河","七台河市","Qitaihe","黑龙江","Heilongjiang","North","Tier 5"
"2","三亚","三亚市","Sanya","海南","Hainan","South","Tier 3"
"3","三明","三明市","Sanming","福建","Fujian","East","Tier 3"
"4","三门峡","三门峡市","Sanmenxia","河南","Henan","North","Tier 5"
"5","上海","上海市","Shanghai","上海","Shanghai","East","Tier 1"
"6","上饶","上饶市","Shangrao","江西","Jiangxi","South","Tier 3"
"7","东莞","东莞市","Dongguan","广东","Guangdong","South","new Tier 1"
"8","东营","东营市","Dongying","山东","Shandong","North","Tier 3"
"9","中卫","中卫市","Zhongwei","宁夏","Ningxia","West","Tier 5"
"10","中山","中山市","Zhongshan","广东","Guangdong","South","Tier 2"
"11","临汾","临汾市","Linfen","山西","Shanxi","North","Tier 5"
"12","临沂","临沂市","Linyi","山东","Shandong","North","Tier 3"
"13","临沧","临沧市","Lincang","云南","Yunnan","West","Tier 5"
"14","丹东","丹东市","Dandong","辽宁","Liaoning","North","Tier 3"
"15","丽水","丽水市","Lishui","浙江","Zhejiang","East","Tier 3"
"16","丽江","丽江市","Lijiang","云南","Yunnan","West","Tier 3"
"17","乌兰察布","乌兰察布市","Ulanqab","内蒙古","Neimenggu","North","Tier 5"
"18","乌海","乌海市","Wuhai","内蒙古","Neimenggu","North","Tier 5"
"19","乌鲁木齐","乌鲁木齐市","Urumqi","新疆","Xinjiang","West","Tier 2"
"20","乐山","乐山市","Leshan","四川","Sichuan","West","Tier 5"
"21","九江","九江市","Jiujiang","江西","Jiangxi","South","Tier 3"
"22","云浮","云浮市","Yunfu","广东","Guangdong","South","Tier 5"
"23","亳州","亳州市","Bozhou","安徽","Anhui","East","Tier 5"
"24","伊春","伊春市","Yichun","黑龙江","Heilongjiang","North","Tier 5"
"25","伊犁","伊犁哈萨克自治州","Yili","新疆","Xinjiang","West","Tier 5"
"26","佛山","佛山市","Foshan","广东","Guangdong","South","Tier 2"
"27","佳木斯","佳木斯市","Jiamusi","黑龙江","Heilongjiang","North","Tier 5"
"28","保定","保定市","Baoding","河北","Hebei","North","Tier 3"
"29","保山","保山市","Baoshan","云南","Yunnan","West","Tier 5"
"30","信阳","信阳市","Xinyang","河南","Henan","North","Tier 5"
"31","儋州","儋州市","Danzhou","海南","Hainan","South","Tier 5"
"32","克孜勒苏柯尔克孜","克孜勒苏柯尔克孜自治州","Kezilesukeerkezi","新疆","Xinjiang","West","Tier 5"
"33","克拉玛依","克拉玛依市","Karamay","新疆","Xinjiang","West","Tier 5"
"34","六安","六安市","Lu'an","安徽","Anhui","East","Tier 5"
"35","六盘水","六盘水市","Liupanshui","贵州","Guizhou","West","Tier 5"
"36","兰州","兰州市","Lanzhou","甘肃","Gansu","West","Tier 2"
"37","兴安盟","兴安盟","Xinganmeng","内蒙古","Neimenggu","North","Tier 5"
"38","内江","内江市","Neijiang","四川","Sichuan","West","Tier 5"
"39","凉山","凉山彝族自治州","Liangshan","四川","Sichuan","West","Tier 5"
"40","包头","包头市","Baotou","内蒙古","Neimenggu","North","Tier 3"
"41","北京","北京市","Beijing","北京","Beijing","North","Tier 5"
"42","北海","北海市","Beihai","广西","Guangxi","South","Tier 5"
"43","十堰","十堰市","Shiyan","湖北","Hubei","West","Tier 5"
