province,city,long,lat
北京,北京,116.47,39.9
天津,天津,117.18,39.15
河北,石家庄,114.47,38.03
山西,太原,112.57,37.87
内蒙古,呼和浩特,111.8,40.82
辽宁,沈阳,123.4,41.83
吉林,长春,125.32,43.87
黑龙江,哈尔滨,126.68,45.75
上海,上海,121.48,31.23
江苏,南京,118.83,32.03
浙江,杭州,120.15,30.23
安徽,合肥,117.3,31.85
福建,福州,119.3,26.08
江西,南昌,115.87,28.68
山东,济南,117,36.63
河南,郑州,113.7,34.8
湖北,武汉,114.35,30.62
湖南,长沙,113,28.18
广东,广州,113.25,23.13
广西,南宁,108.33,22.8
海南,海口,110.33,20.03
重庆,重庆,106.53,29.53
四川,成都,104.08,30.65
贵州,贵阳,106.7,26.58
云南,昆明,102.68,25
西藏,拉萨,91.17,29.67
陕西,西安,108.9,34.27
甘肃,兰州,103.82,36.05
青海,西宁,101.75,36.63
宁夏,银川,106.27,38.33
新疆,乌鲁木齐,87.6,43.8
台湾,台北,121.52,25.05
香港,香港,114.17,22.3
澳门,澳门,113.5,22.2
