countryName,countryEnglishName
辛巴威,Zimbabwe
赞比亚,Zambia
也门,Yemen
越南,Vietnam
委內瑞拉,Venezuela
梵蒂冈,Vatican
萬那杜,Vanuatu
乌兹别克斯坦,Uzbekistan
乌拉圭,Uruguay
密克罗尼西亚联邦,Micronesia
馬紹爾群島,Marshall Is.
北马里亚纳群岛,N. Mariana Is.
美屬維爾京群島,U.S. Virgin Is.
關島,Guam
美屬薩摩亞,American Samoa
波多黎各,Puerto Rico
美国,United States
南喬治亞島與南桑威奇群島,S. Geo. and S. Sandw. Is.
英屬印度洋領地,Br. Indian Ocean Ter.
圣赫勒拿岛,Saint Helena
皮特凯恩群岛,Pitcairn Is.
安圭拉,Anguilla
福克兰群岛,Falkland Is.
開曼群島,Cayman Is.
百慕大,Bermuda
英屬維爾京群島,British Virgin Is.
特克斯和凯科斯群岛,Turks and Caicos Is.
蒙塞拉特島,Montserrat
澤西島,Jersey
根西岛,Guernsey
马恩岛,Isle of Man
英国,United Kingdom
阿拉伯联合酋长国,United Arab Emirates
乌克兰,Ukraine
乌干达,Uganda
土库曼斯坦,Turkmenistan
土耳其,Turkey
突尼西亞,Tunisia
千里達及托巴哥,Trinidad and Tobago
東加,Tonga
多哥,Togo
东帝汶,Timor-Leste
泰国,Thailand
坦桑尼亚,Tanzania
塔吉克斯坦,Tajikistan
叙利亚,Syria
瑞士,Switzerland
瑞典,Sweden
斯威士兰,Swaziland
蘇利南,Suriname
南苏丹,S. Sudan
苏丹共和国,Sudan
斯里蘭卡,Sri Lanka
西班牙,Spain
大韩民国,Korea
南非,South Africa
索马里,Somalia
索马里兰,Somaliland
索羅門群島,Solomon Is.
斯洛伐克,Slovakia
斯洛文尼亚,Slovenia
新加坡,Singapore
塞拉利昂,Sierra Leone
塞舌尔,Seychelles
塞尔维亚,Serbia
塞内加尔,Senegal
沙特阿拉伯,Saudi Arabia
圣多美和普林西比,São Tomé and Principe
圣马力诺,San Marino
萨摩亚,Samoa
圣文森特和格林纳丁斯,St. Vin. and Gren.
圣卢西亚,Saint Lucia
聖克里斯多福與尼維斯,St. Kitts and Nevis
卢旺达,Rwanda
俄罗斯,Russia
羅馬尼亞,Romania
卡塔尔,Qatar
葡萄牙,Portugal
波兰,Poland
菲律宾,Philippines
秘鲁,Peru
巴拉圭,Paraguay
巴布亚新几内亚,Papua New Guinea
巴拿马,Panama
帛琉,Palau
巴基斯坦,Pakistan
阿曼,Oman
挪威,Norway
朝鲜民主主义人民共和国,Dem. Rep. Korea
奈及利亞,Nigeria
尼日尔,Niger
尼加拉瓜,Nicaragua
新西兰,New Zealand
紐埃,Niue
库克群岛,Cook Is.
荷蘭,Netherlands
阿魯巴,Aruba
库拉索,Curaçao
尼泊尔,Nepal
諾魯,Nauru
纳米比亚,Namibia
莫桑比克,Mozambique
摩洛哥,Morocco
西撒哈拉,W. Sahara
蒙特內哥羅,Montenegro
蒙古国,Mongolia
摩尔多瓦,Moldova
摩纳哥,Monaco
墨西哥,Mexico
毛里求斯,Mauritius
毛里塔尼亚,Mauritania
马耳他,Malta
马里共和国,Mali
马尔代夫,Maldives
马来西亚,Malaysia
马拉维,Malawi
马达加斯加,Madagascar
馬其頓共和國,Macedonia
卢森堡,Luxembourg
立陶宛,Lithuania
列支敦斯登,Liechtenstein
利比亚,Libya
利比里亚,Liberia
莱索托,Lesotho
黎巴嫩,Lebanon
拉脫維亞,Latvia
老挝,Lao PDR
吉尔吉斯斯坦,Kyrgyzstan
科威特,Kuwait
科索沃,Kosovo
